slug_key,product_slug,url,category,page_type,catalog_source,target_keyword,product_title,review_count_total,review_count_active,review_count_excluded,has_reviews,sample_quote
"photo-workshops-uk/landscape-photography-workshop-norfolk","landscape-photography-workshop-norfolk","https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshop-norfolk","workshop (residential)","workshop","canonical_products","","Landscape Photography Workshop NORFOLK - Coastal 20 - 22 Nov","5","5","0","yes","A fantastic three days in Norfolk with Alan. The weekend was planned really thoroughly to ensure we had a great selection of locations and spent a minimum amount of time in the car - although the agen"
"photo-workshops-uk/landscape-photography-workshops-anglesey","landscape-photography-workshops-anglesey","https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-anglesey","workshop (residential)","workshop","canonical_products","","ANGLESEY Landscape Photography Workshop -  May 2027","5","5","0","yes","Just back from a other workshop in Wales with Alan.  As usual it was packed with a range of locations with a chance to practice different photographic styles, all with Alan on hand to answer questions"
"photo-workshops-uk/landscape-photography-workshops-glencoe","landscape-photography-workshops-glencoe","https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-glencoe","workshop (residential)","workshop","canonical_products","","Landscape Photography Workshop Glencoe | 15 - 17 Mar 2021","0","0","0","no",""
"photo-workshops-uk/long-exposure-photography-kenilworth","long-exposure-photography-kenilworth","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth","workshop (half-day)","workshop","canonical_products","","Long Exposure Photography Workshop KENILWORTH Sunset","14","14","0","yes","He definitely knows his stuff ! And very helpful."
"photo-workshops-uk/long-exposure-photography-workshop-fairy-glen","long-exposure-photography-workshop-fairy-glen","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshop-fairy-glen","workshop (half-day)","workshop","canonical_products","","FAIRY GLEN and Fairy Falls Long Exposure Photography","2","2","0","yes","Very good tuition with excellent results"
"photo-workshops-uk/long-exposure-photography-workshops-burnham","long-exposure-photography-workshops-burnham","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshops-burnham","workshop (half-day)","workshop","canonical_products","","BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug","1","1","0","yes",""
"photo-workshops-uk/north-yorkshire-landscape-photography","north-yorkshire-landscape-photography","https://www.alanranger.com/photo-workshops-uk/north-yorkshire-landscape-photography","workshop (residential)","workshop","canonical_products","","NORTH YORKSHIRE Landscape Photography Workshop - Sep 2026","14","3","11","yes","Alan is an excellent mentor. His honest, accurate critiques, eagle eye and meticulous attention to detail make him an ideal support in preparing for any photographic recognition  I unreservedly recomm"
"photo-workshops-uk/peak-district-heather-photography-workshop","peak-district-heather-photography-workshop","https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop","workshop (half-day)","workshop","canonical_products","","PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug","4","4","0","yes","The course was detailed with Alan having very good technique of teaching. He made me want to learn more. Thanks Alan"
"photo-workshops-uk/photography-workshops-chesterton-windmill","photography-workshops-chesterton-windmill","https://www.alanranger.com/photo-workshops-uk/photography-workshops-chesterton-windmill","workshop (half-day)","workshop","canonical_products","","Photography Workshops CHESTERTON WINDMILL - Warwickshire","7","7","0","yes","Wonderful Photographer and Trainer. I have attended several courses and enjoyed everyone. Had a really great time. Excellent class."
"photo-workshops-uk/photography-workshops-lavender-fields","photography-workshops-lavender-fields","https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields","workshop (half-day)","workshop","canonical_products","","LAVENDER FIELD Photography Workshop - Gloucestershire July","4","4","0","yes","Being an absolute novice to photography, since buying a entry level dlsr I've become more curious about the science around photography techniques.    Alan's introduction session was both informative a"
"photo-workshops-uk/poppy-fields-photography-workshops","poppy-fields-photography-workshops","https://www.alanranger.com/photo-workshops-uk/poppy-fields-photography-workshops","workshop (half-day)","workshop","canonical_products","","Poppy Fields Photography Workshops | Worcestershire","11","11","0","yes","I appreciated the expert tuition which was available if requested, but also being allowed to just get on without being fussed over."
"photo-workshops-uk/secrets-of-woodland-photography-workshop","secrets-of-woodland-photography-workshop","https://www.alanranger.com/photo-workshops-uk/secrets-of-woodland-photography-workshop","workshop (1-day)","workshop","canonical_products","","The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct","22","21","1","yes","Went on a woodland walk session which was enjoyable and informative."
"photo-workshops-uk/sezincote-garden-photography-workshop","sezincote-garden-photography-workshop","https://www.alanranger.com/photo-workshops-uk/sezincote-garden-photography-workshop","workshop (half-day)","workshop","canonical_products","","SEZINCOTE Garden Photography Workshop - Gloucs 29 May","1","1","0","yes","Alan is a superb photographer who will easily help any photographer to reach their next level.  I would recommend any photographer who wants to kick start their photography journey so that they can in"
"photo-workshops-uk/shropshire-landscape-photography-workshops","shropshire-landscape-photography-workshops","https://www.alanranger.com/photo-workshops-uk/shropshire-landscape-photography-workshops","workshop (1-day)","workshop","canonical_products","","Shropshire Landscape Photography Workshop | Shrewsbury","0","0","0","no",""
"photo-workshops-uk/somerset-landscape-photography-workshops","somerset-landscape-photography-workshops","https://www.alanranger.com/photo-workshops-uk/somerset-landscape-photography-workshops","workshop (residential)","workshop","canonical_products","","SOMERSET Landscape Photography Workshops 9 - 11 May 2025","1","1","0","yes","A very enjoyable & informative course which was very well structured & presented. Made me feel more confident about using the manual settings on my camera. Will definitely look at booking further cour"
"photo-workshops-uk/urban-architecture-photography-workshops-coventry","urban-architecture-photography-workshops-coventry","https://www.alanranger.com/photo-workshops-uk/urban-architecture-photography-workshops-coventry","workshop (half-day)","workshop","canonical_products","","URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep","9","9","0","yes","Just the right level of helpful and practical advice, a very enjoyable evening shoot."
"photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr","wales-photography-workshop-pistyll-rhaeadr","https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr","workshop (residential)","workshop","canonical_products","","WALES Photography Workshop | Lake Vyrnwy 10-11 Oct","4","4","0","yes","I love Alan's workshops.  I've been to 2 3day workshops. Alan is helpful when you need it but let's you get on with it at other times. I have learnt a lot from his sessions and enjoyed them. His feedb"
"photo-workshops-uk/yorkshire-dales-photography-workshops","yorkshire-dales-photography-workshops","https://www.alanranger.com/photo-workshops-uk/yorkshire-dales-photography-workshops","workshop (residential)","workshop","canonical_products","","Landscape YORKSHIRE DALES Photography Workshop - 16 - 18 Apr","6","6","0","yes","Great Workshop in the Yorkshire Dales. Alan clearly knows his stuff and his experience was evident in his professional guidance. His comments in the photo review sessions were  brutally honest but his"
"photo-workshops-uk/woodland-photography-walk-warwickshire","woodland-photography-walk-warwickshire","https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire","workshop (half-day)","workshop","canonical_products","","WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs","34","31","3","yes","Inspirational, instructive and interesting"
"photography-services-near-me/02-top-10-tips-to-make-a-photograph","02-top-10-tips-to-make-a-photograph","https://www.alanranger.com/photography-services-near-me/02-top-10-tips-to-make-a-photograph","academy","academy","canonical_products","","#02 Top 10 Tips - To make a photograph | Professional Tips","0","0","0","no",""
"photography-services-near-me/beginners-photography-classes-coventry","beginners-photography-classes-coventry","https://www.alanranger.com/photography-services-near-me/beginners-photography-classes-coventry","course","course","canonical_products","","Beginners Photography Classes - Coventry - Get Off Auto","0","0","0","no",""
"beginners-photography-classes","beginners-photography-classes","https://www.alanranger.com/beginners-photography-classes","service hub","service","service_hub","","Beginners Photography Classes","0","0","0","no",""
"photography-services-near-me/beginners-photography-course","beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","course","course","canonical_products","","Beginners Photography Course | 3 Weekly Evening Classes","148","147","1","yes","I attended the beginners camera course, would definitely recommend, didn't realise just how much there was to know before starting the course! Nice small group which helps give you time to ask questio"
"photography-services-near-me/beginners-portrait-photography-course","beginners-portrait-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-portrait-photography-course","course","course","canonical_products","","Beginners Portrait Photography Course - Coventry - 1 Day","12","12","0","yes","I have throughly enjoyed all courses delivered by Alan. Great content and excellent delivery."
"photography-services-near-me/black-and-white-photography-course","black-and-white-photography-course","https://www.alanranger.com/photography-services-near-me/black-and-white-photography-course","course","course","canonical_products","","Professional Black and White Photography Course | Coventry","0","0","0","no",""
"photography-services-near-me/calendar-2022","calendar-2022","https://www.alanranger.com/photography-services-near-me/calendar-2022","gift voucher","gift-voucher","canonical_products","","Calendar 2022 - UK Landscape Images from Alan Ranger","0","0","0","no",""
